new entry "Shout_LLSPRINT_ToggleSprint"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "No"
data "IsEnemySkill" "No"
data "Ability" "None"
data "ActionPoints" "0"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "Requirements" "!Combat"
data "SkillProperties" ""
data "TargetConditions" "Self"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Autocast" "Yes"
data "Icon" "LLSPRINT_Skill_ToggleSprint"
data "DisplayName" "Toggle Sprint"
data "DisplayNameRef" ""
data "Description" "Enable/disable sprinting."
data "DescriptionRef" ""
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "PrepareAnimationInit" "noprepare"
data "PrepareAnimationLoop" "noprepare"
data "CastTextEvent" "cast"
data "CastAnimation" "Portret_Still_01"
